,name,waittime (min),state
0,Archipel,0,Open
1,Baron 1898,10,Open
2,Baron 1898 Single-rider,10,Open
3,Carnaval Festival,15,Open
4,Anton Pieck Plein (carrousels),0,Open
5,De Vliegende Hollander,0,Open
6,De Vliegende Hollander Single-rider,0,Open
7,De zes Zwanen Rondvaart,0,Open
8,Diorama,0,Open
9,De Oude Tufferbaan,15,Open
10,Droomvlucht,40,Open
11,Efteling Museum,0,Open
12,Fabula,10,Open
13,Fata Morgana,5,Open
14,Gondoletta,10,Open
15,Halve Maen,5,Open
16,Joris en de Draak,15,Open
17,Joris en de Draak Single-rider,15,Open
18,Kinderspoor,5,Open
19,Kindervreugd,0,Open
20,Kleuterhof,0,Open
21,Max & Moritz,5,Open
22,Max & Moritz Single-rider,5,Open
23,Pagode,5,Open
24,Pira̱a,10,Open
25,Python,10,Open
26,Python Single-rider,0,Open
27,Sirocco,10,Open
28,Speelbos Nest,0,Open
29,Sprookjesbos,0,Open
30,Stoomcarrousel,0,Open
31,Stoomtrein Marerijk,10,Open
32,Stoomtrein Ruigrijk,10,Open
33,Symbolica,15,Open
34,Symbolica Single-rider,5,Open
35,Villa Volta,5,Open
36,Virtuele Droomvlucht,0,Open
