,name,waittime (min),state
0,Objectif Mars,0,Gesloten
1,L'Extraordinaire Voyage,0,Gesloten
2,Danse avec les Robots,0,Gesloten
3,La Machine à Voyager dans le Temps,0,Gesloten
4,"Arthur, l'aventure 4D",0,Gesloten
5,Chocs Cosmiques,0,Gesloten
6,La Vienne Dynamique,0,Gesloten
7,Kinékid,0,Gesloten
8,Dynamic!,0,Gesloten
9,Astra Fun Xperiences,0,Gesloten
10,Les Yeux Grands Fermés,0,Gesloten
11,Cyber Avenue,0,Gesloten
12,KinéMAX,0,Gesloten
